armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,14951,35600,2759,1,0,854,814,3373
158,2313,1588,2603,512,256,24,202,59,2067,35440,2603,1,0,870,870,158
2773,1518,1368,1613,512,256,57,-56,170,1220,-183840,183840,0,1,399,399,2776
1593,1853,2333,2303,512,256,144,147,89,83322,-28579,28579,0,1,1116,756,1593
3373,1203,1078,2568,512,256,-91,-328,224,35,-266925,266925,0,1,18,18,3373
1023,2093,1638,2058,512,256,-128,-28,473,472442,-34730,28309,0,0,3414,1980,1026
2198,1983,1793,2178,512,256,20,205,301,25840,-1059,2135,1,0,523,426,2198
343,1463,2133,1243,512,256,-48,-370,136,292672,-65976,54294,0,1,1117,307,346
538,2358,1928,2798,512,256,242,143,37,1322,37920,2963,1,0,622,622,538
1053,3008,2678,2643,512,256,160,200,48,8781,34940,2474,1,0,920,920,1053
1568,1333,1258,2208,512,256,50,435,125,623468,-23819,23819,0,0,3414,1834,1568
223,1818,1313,2638,512,256,-187,224,341,623576,-27430,16719,0,0,3414,1726,226
3453,1203,1858,1133,512,256,-156,-324,182,198564,32120,2994,1,0,1202,662,3453
2128,1973,1873,1948,512,256,60,156,180,39238,37200,2987,1,0,694,584,2128
3798,2073,2093,1823,512,256,-234,-160,360,608967,-42622,31870,0,0,3414,1684,3798
3493,1143,2173,2088,512,256,60,325,219,381800,-320066,310124,0,1,1442,335,3493
3418,1853,2573,1108,512,256,215,175,402,589707,-10966,10966,0,0,3414,1723,3418
3668,1133,2793,2263,512,256,-352,21,259,87472,-2623,2687,1,0,1454,1208,3668
2483,1493,1593,1025,512,256,285,-182,319,5157,-351092,351092,0,1,550,540,2486
1828,2258,2498,2158,512,256,162,273,226,608475,-29477,15947,0,0,3414,1902,1828
3988,1503,1148,2913,512,256,-257,-59,475,8551,-280550,280550,0,1,170,150,3988
3633,1583,2138,1693,512,256,30,-346,134,1151,-151111,151111,0,1,380,380,3633
1078,1048,2708,2658,512,256,285,238,74,2387,35230,2320,1,0,891,891,1078
2118,1448,1468,2483,512,256,80,-157,378,5329,-81494,81494,0,1,679,669,2121
1088,2908,2423,2938,512,256,391,130,75,218,-45867,45867,0,1,48,48,1088
688,2408,2413,1228,512,256,75,-212,376,629831,-47003,47003,0,0,3414,1814,688
2983,1153,2168,2853,512,256,96,120,484,433463,-99,2640,1,0,1706,832,2983
938,1813,1253,2348,512,256,-103,194,338,132161,31420,2958,1,0,1272,902,941
3868,1328,1253,1943,512,256,-72,88,194,16181,-46366,46366,0,1,768,728,3868
658,1673,1478,2768,512,256,-11,312,275,196831,-1499,2370,1,0,1450,914,661
3943,2128,1393,2913,512,256,193,-262,188,799,-194238,194238,0,1,104,104,3943
238,1588,2923,1513,512,256,341,49,337,616614,-27505,16885,0,0,3414,1685,238
2623,1613,1128,2423,512,256,78,-339,29,103,-514236,514236,0,1,35,35,2623
3983,2223,2133,2068,512,256,35,-82,448,1558,-36258,36258,0,1,457,457,3983
428,1118,2913,1768,512,256,188,-342,82,207931,30,2649,1,0,1610,1097,428
1968,2443,2373,3003,512,256,328,283,86,676807,-60448,60448,0,0,3414,1854,1968
3378,1728,1793,1898,512,256,-175,102,164,58977,37360,2676,1,0,678,598,3378
2963,1793,1443,1998,512,256,290,51,253,628284,-42012,38781,0,0,3414,1862,2963
1563,1388,1378,2368,512,256,-132,-161,206,72913,34200,2536,1,0,994,874,1563
3603,1583,2383,1148,512,256,91,40,508,736,-133418,133418,0,1,307,307,3603
1003,2448,2508,2478,512,256,190,47,119,2400,33950,2918,1,0,1019,1019,1003
623,2603,2718,1378,512,256,-311,162,329,799034,-22616,18738,0,0,3414,1702,626
2608,1248,1113,2263,512,256,73,-60,481,785,-293653,293653,0,1,331,331,2611
2313,1293,2768,2933,512,256,-238,117,415,65750,-541499,529652,0,1,340,140,2316
3108,1848,2028,1593,512,256,137,-64,224,1422,-253064,253064,0,1,592,592,3108
3253,2383,2238,2083,512,256,-205,-199,392,977,41190,2659,1,0,295,295,3253
1333,1793,1288,1998,512,256,420,114,150,643131,-89065,89065,0,0,3414,1803,1336
198,2473,2368,1828,512,256,-224,308,149,37544,35780,2436,1,0,836,806,201
68,2453,2493,2548,512,256,297,182,267,39391,36940,2985,1,0,720,650,68
693,2228,2253,1098,512,256,250,209,415,910742,-11545,11545,0,0,3414,1484,696
1923,1743,2653,1513,512,256,-37,136,172,196616,5342,2871,1,0,1770,1298,1923
568,1178,2673,2133,512,256,-233,-102,250,531577,-62612,57541,0,1,1751,597,568
1813,1283,1618,1473,512,256,-149,181,90,858633,-11911,8840,0,0,3414,1501,1813
3553,2383,3048,1803,512,256,264,-298,284,166972,-266189,266189,0,1,1381,1081,3553
3183,1803,2783,2718,512,256,100,191,135,146574,-207448,200180,0,1,550,176,3183
1598,2383,3058,2273,512,256,185,217,78,569114,-46192,36047,0,0,3414,1946,1598
2668,1803,1738,1428,512,256,-336,67,201,835501,2760,2833,1,0,3352,1369,2671
1903,2568,2313,2848,512,256,-232,-138,147,2397,34280,2994,1,0,986,986,1906
4073,2573,2813,1148,512,256,-133,-121,307,604479,-27520,27520,0,0,3414,1853,4073
273,1873,1788,3033,512,256,264,33,455,709197,-39203,25435,0,0,3414,1624,276
1548,2793,2848,2988,512,256,-266,11,27,944,-427029,427029,0,1,460,460,1551
223,1823,1738,1928,512,256,-38,115,9,1163,-291103,291103,0,1,504,504,226
3188,2598,2028,2748,512,256,-199,-74,435,723,41320,2361,1,0,282,282,3188
1268,1113,1618,1293,512,256,-323,-134,244,173020,-434602,434709,0,1,612,271,1268
28,2253,2828,2583,512,256,-129,-87,482,815340,-33056,20313,0,0,3414,1236,31
2508,1483,2783,2543,512,256,-27,-373,87,226798,-100121,96862,0,1,839,224,2508
3058,2273,1948,1823,512,256,-160,-55,124,1598,37980,2744,1,0,616,616,3061
3833,1183,3048,1768,512,256,-300,20,329,488895,-33303,29888,0,0,3414,1952,3833
2463,2228,2778,1408,512,256,-120,405,152,577696,-28397,28397,0,0,3414,1883,2463
98,1948,1483,2973,512,256,261,218,316,673069,-17754,17754,0,0,3414,1772,101
823,2713,2073,2833,512,256,309,244,280,645447,-30841,30841,0,0,3414,1825,826
3568,2448,2968,2378,512,256,176,277,194,31977,-522773,501945,0,1,161,42,3568
2493,1303,1208,1648,512,256,-177,38,152,573906,5132,2397,1,0,2266,914,2493
1228,2673,2508,2373,512,256,140,57,194,2441,-18759,18759,0,1,980,980,1228
1468,2433,1758,2828,512,256,-242,-111,135,2011,35320,2579,1,0,882,882,1471
2078,2563,2783,2803,512,256,-22,289,223,30965,32610,2962,1,0,1153,1043,2078
1588,1033,2338,2543,512,256,309,-290,103,594587,-43365,30384,0,0,3414,1955,1588
2973,1548,3068,2293,512,256,228,-109,225,10874,-222168,202114,0,1,61,54,2973
2733,1173,1133,2953,512,256,-264,40,144,121646,-2096,2873,1,0,1109,642,2733
3538,2088,1318,2858,512,256,-26,289,72,642594,-23204,10242,0,0,3414,1764,3538
2113,1373,1523,2473,512,256,-48,249,245,726,41830,2744,1,0,231,231,2113
3733,3033,2688,3063,512,256,88,123,42,34,-506907,506907,0,1,11,11,3733
638,2723,2838,1548,512,256,-112,246,364,355715,19900,2356,1,0,2424,1364,641
1168,2283,2228,2068,512,256,316,-10,372,610999,-35021,35021,0,0,3414,1614,1168
2683,1788,1733,1668,512,256,-118,-265,281,598545,-13017,13017,0,0,3414,1583,2686
263,1463,1393,1973,512,256,223,306,297,496346,-31260,18249,0,0,3414,1790,266
938,2263,2238,2083,512,256,-335,202,110,1561,36960,2815,1,0,718,718,941
2833,2333,2128,2648,512,256,337,-85,145,1843,-513503,513503,0,1,773,773,2833
4053,1668,1243,2818,512,256,-56,381,337,478568,-28391,24930,0,0,3414,1641,4053
3923,1678,2123,1413,512,256,-153,335,327,242904,-3429,2930,1,0,2298,1239,3923
2353,1283,1703,2143,512,256,-194,-110,138,10058,36490,2688,1,0,765,735,2353
3163,2708,2378,2138,512,256,-102,-166,441,1422,37400,2883,1,0,674,674,3166
1958,2478,1598,2833,512,256,219,382,135,430687,-31648,31648,0,0,3414,1653,1961
1638,1838,1993,2643,512,256,42,368,150,449,40670,2820,1,0,347,347,1638
2508,1628,1668,1443,512,256,-52,46,353,3105,-40026,40026,0,1,334,314,2508
3433,1958,1653,2563,512,256,-50,214,106,2277,35300,2801,1,0,884,884,3433
1948,1983,2493,1578,512,256,293,193,180,333337,-38010,38010,0,0,3414,2023,1948
2348,1808,2078,1263,512,256,-116,230,479,501990,-28813,19522,0,0,3414,977,2348
593,2008,1513,2708,512,256,81,386,141,355501,-22699,22699,0,0,3414,1873,593
3518,1678,2468,1203,512,256,155,-141,490,298400,-4213,2816,1,0,2945,1527,3518
