armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,183073,-831307,79070,0,1,738,37,3373
158,2313,1588,2603,512,256,24,202,59,2054,35430,2209,1,0,871,871,161
2773,1518,1368,1613,512,256,57,-56,170,925,-184080,184080,0,1,404,404,2776
1593,1853,2333,2303,512,256,144,147,89,2074,34870,2780,1,0,927,927,1593
3373,1203,1078,2568,512,256,-91,-328,224,261808,31730,2836,1,0,1241,241,3373
1023,2093,1638,2058,512,256,-128,-28,473,614179,-85715,7023,0,1,2126,44,1026
2198,1983,1793,2178,512,256,20,205,301,430821,-632581,2128,1,0,1974,340,2195
343,1463,2133,1243,512,256,-48,-370,136,683,-122044,122044,0,1,313,313,343
538,2358,1928,2798,512,256,242,143,37,1271,38250,2983,1,0,589,589,541
1053,3008,2678,2643,512,256,160,200,48,2100,35190,2828,1,0,895,895,1053
1568,1333,1258,2208,512,256,50,435,125,270112,-1071766,2976,1,0,1066,207,1568
223,1818,1313,2638,512,256,-187,224,341,115034,-902261,46890,0,1,353,5,226
3453,1203,1858,1133,512,256,-156,-324,182,211148,-823392,2937,1,0,734,136,3453
2128,1973,1873,1948,512,256,60,156,180,47702,-127538,2950,1,0,713,584,2125
3798,2073,2093,1823,512,256,-234,-160,360,316589,31850,2508,1,0,1229,229,3795
3493,1143,2173,2088,512,256,60,325,219,120426,-565386,190536,0,1,198,2,3493
3418,1853,2573,1108,512,256,215,175,402,323179,27810,2670,1,0,1633,633,3415
3668,1133,2793,2263,512,256,-352,21,259,897746,-919469,12624,0,0,3414,505,3668
2483,1493,1593,1025,512,256,285,-182,319,398985,-465239,2510,1,0,1427,15,2486
1828,2258,2498,2158,512,256,162,273,226,948,39129,2904,1,0,501,501,1828
3988,1503,1148,2913,512,256,-257,-59,475,729031,-962516,2895,1,0,3250,285,3985
3633,1583,2138,1693,512,256,30,-346,134,747,-33451,33451,0,1,371,371,3633
1078,1048,2708,2658,512,256,285,238,74,213930,-1608256,2838,1,0,994,106,1078
2118,1448,1468,2483,512,256,80,-157,378,337085,-292300,2920,1,0,1311,19,2121
1088,2908,2423,2938,512,256,391,130,75,59840,-248218,2905,1,0,263,49,1091
688,2408,2413,1228,512,256,75,-212,376,19222,-90591,2854,1,0,452,378,685
2983,1153,2168,2853,512,256,96,120,484,741261,-704000,23608,0,1,2852,177,2986
938,1813,1253,2348,512,256,-103,194,338,192737,-826710,2897,1,0,1298,580,941
3868,1328,1253,1943,512,256,-72,88,194,475,-233767,233767,0,1,151,151,3868
658,1673,1478,2768,512,256,-11,312,275,791127,-192842,15980,0,0,3414,229,661
3943,2128,1393,2913,512,256,193,-262,188,263,-194464,194464,0,1,124,124,3943
238,1588,2923,1513,512,256,341,49,337,289860,33920,2711,1,0,1022,22,238
2623,1613,1128,2423,512,256,78,-339,29,1269,-170639,170639,0,1,608,608,2623
3983,2223,2133,2068,512,256,35,-82,448,537542,-972878,112044,0,1,2455,522,3983
428,1118,2913,1768,512,256,188,-342,82,2594,35120,2987,1,0,902,902,428
1968,2443,2373,3003,512,256,328,283,86,164965,-790713,2921,1,0,1038,308,1968
3378,1728,1793,1898,512,256,-175,102,164,1280,38840,2798,1,0,530,530,3378
2963,1793,1443,1998,512,256,290,51,253,96519,-416004,2277,1,0,1075,733,2960
1563,1388,1378,2368,512,256,-132,-161,206,80516,-776694,292742,0,1,372,2,1563
3603,1583,2383,1148,512,256,91,40,508,540515,23610,2994,1,0,2053,53,3600
1003,2448,2508,2478,512,256,190,47,119,2345,34230,2830,1,0,991,991,1003
623,2603,2718,1378,512,256,-311,162,329,187503,-1472351,19646,0,1,716,12,626
2608,1248,1113,2263,512,256,73,-60,481,878,-294401,294401,0,1,327,327,2611
2313,1293,2768,2933,512,256,-238,117,415,927350,-391813,7897,0,0,3414,33,2316
3108,1848,2028,1593,512,256,137,-64,224,1781,-254996,254996,0,1,594,594,3111
3253,2383,2238,2083,512,256,-205,-199,392,815,41200,2465,1,0,294,294,3256
1333,1793,1288,1998,512,256,420,114,150,289940,33870,2901,1,0,1027,27,1330
198,2473,2368,1828,512,256,-224,308,149,187615,-1527621,471457,0,1,759,4,201
68,2453,2493,2548,512,256,297,182,267,270544,29120,2968,1,0,1502,502,71
693,2228,2253,1098,512,256,250,209,415,402482,-485901,2851,1,0,1772,289,696
1923,1743,2653,1513,512,256,-37,136,172,103313,-683676,55514,0,1,626,210,1923
568,1178,2673,2133,512,256,-233,-102,250,212914,-1150553,41653,0,1,844,51,568
1813,1283,1618,1473,512,256,-149,181,90,39630,-234295,2246,1,0,443,289,1813
3553,2383,3048,1803,512,256,264,-298,284,11797,-562054,479273,0,1,40,3,3553
3183,1803,2783,2718,512,256,100,191,135,59473,-609164,118430,0,1,204,2,3183
1598,2383,3058,2273,512,256,185,217,78,431,-152563,152563,0,1,230,230,1598
2668,1803,1738,1428,512,256,-336,67,201,92104,-434619,2459,1,0,427,126,2671
1903,2568,2313,2848,512,256,-232,-138,147,264109,33750,2786,1,0,1039,39,1903
