armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
2048,2048,2048,2048,512,256,-297,-145,351,93893,5242,2621,1,0,933,751,2051
2048,2048,2048,2048,512,256,-199,-153,251,3372,19189,2981,1,0,791,785,2048
2048,2048,2048,2048,512,256,75,-304,70,2312,17870,1732,1,0,923,921,2045
2048,2048,2048,2048,512,256,24,201,60,6350,-8995,8995,0,1,595,573,2045
2048,2048,2048,2048,512,256,-146,73,103,1502,-65398,65398,0,1,683,683,2048
2048,2048,2048,2048,512,256,57,-56,170,5012,-116459,116459,0,1,928,917,2045
2048,2048,2048,2048,512,256,114,134,510,130744,-66393,66393,0,0,1710,1261,2048
2048,2048,2048,2048,512,256,144,145,86,1164,-59904,59904,0,1,619,619,2045
2048,2048,2048,2048,512,256,-127,-62,272,3104,17640,2644,1,0,946,946,2051
2048,2048,2048,2048,512,256,-91,-328,224,5253,19689,2748,1,0,741,726,2048
2048,2048,2048,2048,512,256,288,-2,76,1559,20270,2823,1,0,683,683,2045
2048,2048,2048,2048,512,256,-130,-27,471,1098,21420,2816,1,0,568,568,2051
2048,2048,2048,2048,512,256,-73,315,216,330,25220,2755,1,0,188,188,2048
2048,2048,2048,2048,512,256,21,203,303,758,23220,2344,1,0,388,388,2048
2048,2048,2048,2048,512,256,71,-124,339,3593,16900,2710,1,0,1020,1020,2048
2048,2048,2048,2048,512,256,-31,-352,155,6339,19170,2608,1,0,793,777,2048
2048,2048,2048,2048,512,256,262,-242,214,2849,21700,2457,1,0,540,534,2045
2048,2048,2048,2048,512,256,242,141,38,100695,-6668,6361,0,1,1375,1170,2045
2048,2048,2048,2048,512,256,412,15,81,160061,6492,2989,1,0,1689,1284,2045
2048,2048,2048,2048,512,256,159,198,48,28628,-13847,13847,0,1,973,867,2045
2048,2048,2048,2048,512,256,127,140,238,2125,21170,2805,1,0,593,590,2045
2048,2048,2048,2048,512,256,53,435,128,90549,-10396,10396,0,0,1710,1349,2048
2048,2048,2048,2048,512,256,82,-237,194,6437,17259,2521,1,0,984,970,2045
2048,2048,2048,2048,512,256,-186,225,341,434,24700,2725,1,0,240,240,2051
2048,2048,2048,2048,512,256,-45,-103,264,2482,-32405,32405,0,1,1080,1080,2051
2048,2048,2048,2048,512,256,-143,-328,190,5919,20470,2947,1,0,663,647,2048
2048,2048,2048,2048,512,256,-39,316,203,312,25450,2684,1,0,165,165,2048
2048,2048,2048,2048,512,256,60,156,179,1848,-15863,15863,0,1,567,565,2045
2048,2048,2048,2048,512,256,-151,-307,220,4241,20360,2309,1,0,674,663,2048
2048,2048,2048,2048,512,256,-234,-157,359,1163,21540,2948,1,0,556,556,2051
2048,2048,2048,2048,512,256,115,85,494,285038,-49491,49491,0,0,1710,1210,2048
2048,2048,2048,2048,512,256,60,324,221,225841,-14355,14355,0,0,1710,1284,2045
2048,2048,2048,2048,512,256,-184,-108,350,1692,19560,2288,1,0,754,754,2051
2048,2048,2048,2048,512,256,214,175,404,228145,-19790,19790,0,0,1710,1218,2048
2048,2048,2048,2048,512,256,237,299,354,137563,-14088,12833,0,0,1710,1304,2048
2048,2048,2048,2048,512,256,-352,23,259,10349,3951,2412,1,0,439,401,2048
2048,2048,2048,2048,512,256,-54,70,123,1090,-114312,114312,0,1,577,577,2048
2048,2048,2048,2048,512,256,284,-185,317,25755,6046,2718,1,0,784,696,2048
2048,2048,2048,2048,512,256,118,336,374,167394,-12486,11781,0,0,1710,1262,2048
2048,2048,2048,2048,512,256,162,273,226,150635,-14779,14779,0,0,1710,1378,2045
2048,2048,2048,2048,512,256,-26,-156,292,3676,16000,2635,1,0,1110,1110,2051
2048,2048,2048,2048,512,256,-260,-58,473,195735,-71852,71852,0,0,1710,1232,2051
2048,2048,2048,2048,512,256,-120,-138,418,1665,19450,2804,1,0,765,765,2051
