armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,249593,-12341,2688,1,0,911,196,3373
158,2313,1588,2603,512,256,24,202,59,2053,-33665,33665,0,1,815,815,158
2773,1518,1368,1613,512,256,57,-56,170,2402,-70672,70672,0,1,884,884,2773
1593,1853,2333,2303,512,256,144,147,89,111358,-10428,2515,1,0,1161,849,1593
3373,1203,1078,2568,512,256,-91,-328,224,359,-190089,190089,0,1,167,167,3376
1023,2093,1638,2058,512,256,-128,-28,473,907901,-92394,12598,0,0,3414,1328,1026
2198,1983,1793,2178,512,256,20,205,301,54983,-19350,1926,1,0,385,163,2198
343,1463,2133,1243,512,256,-48,-370,136,319087,-101435,54087,0,1,944,95,343
538,2358,1928,2798,512,256,242,143,37,952,-51780,51780,0,1,398,398,538
1053,3008,2678,2643,512,256,160,200,48,93528,-214323,128363,0,1,432,158,1056
1568,1333,1258,2208,512,256,50,435,125,1064370,-78167,20938,0,0,3414,559,1571
223,1818,1313,2638,512,256,-187,224,341,46676,-338529,203046,0,1,324,177,223
3453,1203,1858,1133,512,256,-156,-324,182,335768,-20024,2673,1,0,1419,394,3453
2128,1973,1873,1948,512,256,60,156,180,156428,-58348,2582,1,0,691,236,2128
3798,2073,2093,1823,512,256,-234,-160,360,985650,-23346,23346,0,0,3414,514,3795
3493,1143,2173,2088,512,256,60,325,219,47763,-247452,197762,0,1,232,114,3496
3418,1853,2573,1108,512,256,215,175,402,816172,-29293,11279,0,0,3414,995,3415
3668,1133,2793,2263,512,256,-352,21,259,218760,-38713,2764,1,0,1380,737,3668
2483,1493,1593,1025,512,256,285,-182,319,514,-425986,425986,0,1,157,157,2483
1828,2258,2498,2158,512,256,162,273,226,134132,-15982,2978,1,0,568,150,1828
3988,1503,1148,2913,512,256,-257,-59,475,95537,-273220,173631,0,1,660,371,3985
3633,1583,2138,1693,512,256,30,-346,134,110944,-47262,34153,0,1,552,239,3633
1078,1048,2708,2658,512,256,285,238,74,95808,-496594,370319,0,1,679,423,1075
2118,1448,1468,2483,512,256,80,-157,378,820701,-79022,9900,0,0,3414,944,2118
1088,2908,2423,2938,512,256,391,130,75,62,-94348,94348,0,1,19,19,1088
688,2408,2413,1228,512,256,75,-212,376,68533,-99264,2641,1,0,602,404,688
2983,1153,2168,2853,512,256,96,120,484,934184,-87369,17031,0,0,3414,647,2986
938,1813,1253,2348,512,256,-103,194,338,318666,-62275,2996,1,0,1537,576,938
3868,1328,1253,1943,512,256,-72,88,194,33562,-43218,43218,0,1,591,491,3868
658,1673,1478,2768,512,256,-11,312,275,654751,-55400,2541,1,0,2627,676,661
3943,2128,1393,2913,512,256,193,-262,188,804101,-293167,213847,0,1,2547,75,3940
238,1588,2923,1513,512,256,341,49,337,402939,-28353,2715,1,0,1625,393,238
2623,1613,1128,2423,512,256,78,-339,29,415,-510358,510358,0,1,120,120,2623
3983,2223,2133,2068,512,256,35,-82,448,64213,-293842,99412,0,1,215,23,3980
428,1118,2913,1768,512,256,188,-342,82,810841,-101179,17786,0,0,3414,1036,428
1968,2443,2373,3003,512,256,328,283,86,531,-295329,295329,0,1,164,164,1968
3378,1728,1793,1898,512,256,-175,102,164,1805,38860,2616,1,0,528,528,3375
2963,1793,1443,1998,512,256,290,51,253,199518,-1220,2979,1,0,1405,799,2960
1563,1388,1378,2368,512,256,-132,-161,206,779919,-81996,19627,0,0,3414,1050,1563
3603,1583,2383,1148,512,256,91,40,508,1068175,-114433,18034,0,0,3414,320,3600
1003,2448,2508,2478,512,256,190,47,119,151126,-1739,2916,1,0,1003,598,1006
623,2603,2718,1378,512,256,-311,162,329,86322,33570,2371,1,0,1057,857,623
2608,1248,1113,2263,512,256,73,-60,481,270,-319254,319254,0,1,75,75,2608
2313,1293,2768,2933,512,256,-238,117,415,893578,-45526,14558,0,0,3414,784,2313
3108,1848,2028,1593,512,256,137,-64,224,1051607,-167302,157777,0,0,3414,206,3108
3253,2383,2238,2083,512,256,-205,-199,392,894,41120,2221,1,0,302,302,3253
1333,1793,1288,1998,512,256,420,114,150,323049,-70607,2308,1,0,1083,106,1336
198,2473,2368,1828,512,256,-224,308,149,297555,-28100,2994,1,0,1631,697,198
68,2453,2493,2548,512,256,297,182,267,896147,-11443,11443,0,0,3414,714,68
