armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,5421,35390,2176,1,0,875,870,3373
158,2313,1588,2603,512,256,24,202,59,9152,-33665,33665,0,1,815,815,158
2773,1518,1368,1613,512,256,57,-56,170,2336,-70672,70672,0,1,884,884,2773
1593,1853,2333,2303,512,256,144,147,89,6694,35330,2931,1,0,881,866,1593
3373,1203,1078,2568,512,256,-91,-328,224,388,-190089,190089,0,1,167,167,3376
1023,2093,1638,2058,512,256,-128,-28,473,3403,-128392,128392,0,1,1280,1280,1026
2198,1983,1793,2178,512,256,20,205,301,73182,32769,2670,1,0,1137,977,2198
343,1463,2133,1243,512,256,-48,-370,136,8123,-150580,150580,0,1,1494,1479,343
538,2358,1928,2798,512,256,242,143,37,956,-51780,51780,0,1,398,398,538
1053,3008,2678,2643,512,256,160,200,48,9483,34500,2802,1,0,964,939,1056
1568,1333,1258,2208,512,256,50,435,125,568452,-54411,45776,0,0,3414,2046,1571
223,1818,1313,2638,512,256,-187,224,341,480862,-33248,28302,0,0,3414,2200,223
3453,1203,1858,1133,512,256,-156,-324,182,841,-246998,246998,0,1,337,337,3453
2128,1973,1873,1948,512,256,60,156,180,10391,33760,2579,1,0,1038,1008,2128
3798,2073,2093,1823,512,256,-234,-160,360,435547,-59200,59200,0,0,3414,2149,3795
3493,1143,2173,2088,512,256,60,325,219,8821,29900,2955,1,0,1424,1404,3496
3418,1853,2573,1108,512,256,215,175,402,541669,-11703,11703,0,0,3414,2074,3415
3668,1133,2793,2263,512,256,-352,21,259,2617,32640,2923,1,0,1150,1150,3668
2483,1493,1593,1025,512,256,285,-182,319,407,-425986,425986,0,1,157,157,2483
1828,2258,2498,2158,512,256,162,273,226,11721,627,2890,1,0,717,677,1828
3988,1503,1148,2913,512,256,-257,-59,475,2107,-286738,286738,0,1,587,587,3985
3633,1583,2138,1693,512,256,30,-346,134,10475,-40444,40444,0,1,1475,1455,3633
1078,1048,2708,2658,512,256,285,238,74,144303,3394,2688,1,0,2317,1914,1075
2118,1448,1468,2483,512,256,80,-157,378,2693,-80197,80197,0,1,730,730,2118
1088,2908,2423,2938,512,256,391,130,75,65,-94348,94348,0,1,19,19,1088
688,2408,2413,1228,512,256,75,-212,376,1579,-77145,77145,0,1,459,459,688
2983,1153,2168,2853,512,256,96,120,484,595,-240837,240837,0,1,173,173,2986
938,1813,1253,2348,512,256,-103,194,338,266580,-30753,30753,0,0,3414,2679,938
3868,1328,1253,1943,512,256,-72,88,194,1521,-88840,88840,0,1,488,488,3868
658,1673,1478,2768,512,256,-11,312,275,417102,14740,2957,1,0,2940,1680,661
3943,2128,1393,2913,512,256,193,-262,188,160059,1555,2402,1,0,2246,1778,3940
238,1588,2923,1513,512,256,341,49,337,3911,2842,2314,1,0,697,689,238
2623,1613,1128,2423,512,256,78,-339,29,271,-510358,510358,0,1,120,120,2623
3983,2223,2133,2068,512,256,35,-82,448,4847,-37151,37151,0,1,1773,1773,3980
428,1118,2913,1768,512,256,188,-342,82,3925,-190305,190305,0,1,843,838,428
1968,2443,2373,3003,512,256,328,283,86,417,-295329,295329,0,1,164,164,1968
3378,1728,1793,1898,512,256,-175,102,164,1330,38860,2616,1,0,528,528,3375
2963,1793,1443,1998,512,256,290,51,253,102266,28980,2917,1,0,1516,1121,2960
1563,1388,1378,2368,512,256,-132,-161,206,2102,34930,2925,1,0,921,921,1563
3603,1583,2383,1148,512,256,91,40,508,115232,-91279,91279,0,0,3414,2989,3600
1003,2448,2508,2478,512,256,190,47,119,8320,-1861,2958,1,0,925,905,1006
623,2603,2718,1378,512,256,-311,162,329,31005,2965,2713,1,0,1050,945,623
2608,1248,1113,2263,512,256,73,-60,481,116,-319254,319254,0,1,75,75,2608
2313,1293,2768,2933,512,256,-238,117,415,131,-664162,664162,0,1,90,90,2313
3108,1848,2028,1593,512,256,137,-64,224,12701,4539,2453,1,0,1312,1279,3108
3253,2383,2238,2083,512,256,-205,-199,392,812,41120,2221,1,0,302,302,3253
1333,1793,1288,1998,512,256,420,114,150,280616,3349,2986,1,0,2907,1658,1336
198,2473,2368,1828,512,256,-224,308,149,1911,35670,2408,1,0,847,847,198
68,2453,2493,2548,512,256,297,182,267,224292,5998,2899,1,0,3043,1891,68
693,2228,2253,1098,512,256,250,209,415,280568,-16098,16098,0,0,3414,2109,696
1923,1743,2653,1513,512,256,-37,136,172,2729,32860,2996,1,0,1128,1128,1926
568,1178,2673,2133,512,256,-233,-102,250,7147,27950,2957,1,0,1619,1604,571
1813,1283,1618,1473,512,256,-149,181,90,51373,33930,2896,1,0,1021,711,1816
3553,2383,3048,1803,512,256,264,-298,284,20446,27260,2991,1,0,1688,1538,3553
3183,1803,2783,2718,512,256,100,191,135,4743,1652,2933,1,0,2148,2140,3186
1598,2383,3058,2273,512,256,185,217,78,2943,-1688,2015,1,0,1004,1000,1598
2668,1803,1738,1428,512,256,-336,67,201,75066,1953,2678,1,0,848,498,2668
1903,2568,2313,2848,512,256,-232,-138,147,2104,33100,2327,1,0,1104,1104,1903
4073,2573,2813,1148,512,256,-133,-121,307,1148,35680,2510,1,0,846,846,4073
273,1873,1788,3033,512,256,264,33,455,115359,-236409,236409,0,0,3414,2794,276
1548,2793,2848,2988,512,256,-266,11,27,979,-448898,448898,0,1,312,312,1551
223,1823,1738,1928,512,256,-38,115,9,2206,-115496,115496,0,1,770,770,226
