armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,1011441,-350299,2785,1,0,2561,208,3373
158,2313,1588,2603,512,256,24,202,59,1265052,-759397,13781,0,0,3414,678,158
2773,1518,1368,1613,512,256,57,-56,170,335350,-31562,31562,0,1,1080,80,2773
1593,1853,2333,2303,512,256,144,147,89,347689,327,2573,1,0,1364,357,1593
3373,1203,1078,2568,512,256,-91,-328,224,60,-266925,266925,0,1,18,18,3373
1023,2093,1638,2058,512,256,-128,-28,473,251460,-720340,2926,1,0,2102,1379,1023
2198,1983,1793,2178,512,256,20,205,301,333262,-1105910,2388,1,0,1153,158,2198
343,1463,2133,1243,512,256,-48,-370,136,70188,-451810,65597,0,1,383,169,343
538,2358,1928,2798,512,256,242,143,37,268,-386361,386361,0,1,109,109,538
1053,3008,2678,2643,512,256,160,200,48,43,-307216,307216,0,1,18,18,1053
1568,1333,1258,2208,512,256,50,435,125,331675,-1199847,2515,1,0,1277,287,1568
223,1818,1313,2638,512,256,-187,224,341,130777,-906287,13717,0,1,366,16,226
3453,1203,1858,1133,512,256,-156,-324,182,244478,-849107,2845,1,0,852,247,3453
2128,1973,1873,1948,512,256,60,156,180,275614,-793157,2380,1,0,807,152,2125
3798,2073,2093,1823,512,256,-234,-160,360,1285135,-105469,10635,0,0,3414,318,3795
3493,1143,2173,2088,512,256,60,325,219,66799,-528312,227109,0,1,161,4,3493
3418,1853,2573,1108,512,256,215,175,402,27138,-369160,108937,0,1,346,266,3418
3668,1133,2793,2263,512,256,-352,21,259,762697,-402717,9648,0,0,3414,1023,3668
2483,1493,1593,1025,512,256,285,-182,319,389639,-376149,2913,1,0,1376,30,2483
1828,2258,2498,2158,512,256,162,273,226,191628,-709826,2875,1,0,770,149,1828
3988,1503,1148,2913,512,256,-257,-59,475,1018391,-196826,13787,0,0,3414,231,3988
3633,1583,2138,1693,512,256,30,-346,134,166140,-643867,37805,0,1,603,224,3633
1078,1048,2708,2658,512,256,285,238,74,984432,-538385,16457,0,0,3414,889,1078
2118,1448,1468,2483,512,256,80,-157,378,32095,-107352,2780,1,0,698,606,2118
1088,2908,2423,2938,512,256,391,130,75,40,-94449,94449,0,1,15,15,1088
688,2408,2413,1228,512,256,75,-212,376,1155771,-411506,18131,0,0,3414,23,691
2983,1153,2168,2853,512,256,96,120,484,878166,-644783,32626,0,1,2736,120,2986
938,1813,1253,2348,512,256,-103,194,338,212764,-677054,2837,1,0,1312,683,938
3868,1328,1253,1943,512,256,-72,88,194,1477,-113378,113378,0,1,422,422,3865
658,1673,1478,2768,512,256,-11,312,275,255534,-1229053,1592,1,0,775,5,658
3943,2128,1393,2913,512,256,193,-262,188,103557,-589843,195755,0,1,376,45,3943
238,1588,2923,1513,512,256,341,49,337,864914,-321224,26177,0,1,2461,164,238
2623,1613,1128,2423,512,256,78,-339,29,21933,-607314,501474,0,1,179,95,2623
3983,2223,2133,2068,512,256,35,-82,448,177659,-465291,112137,0,1,838,424,3983
428,1118,2913,1768,512,256,188,-342,82,1815,35490,1921,1,0,865,865,428
1968,2443,2373,3003,512,256,328,283,86,286275,-843412,2626,1,0,1132,364,1968
3378,1728,1793,1898,512,256,-175,102,164,31621,-27592,1878,1,0,458,429,3375
2963,1793,1443,1998,512,256,290,51,253,121056,-852885,346868,0,1,314,8,2963
1563,1388,1378,2368,512,256,-132,-161,206,128181,-675495,292727,0,1,272,5,1563
3603,1583,2383,1148,512,256,91,40,508,1402692,-181014,42849,0,0,3414,274,3603
1003,2448,2508,2478,512,256,190,47,119,479826,3381,1141,1,0,1512,508,1003
623,2603,2718,1378,512,256,-311,162,329,25523,-96748,2839,1,0,930,848,626
2608,1248,1113,2263,512,256,73,-60,481,1262908,-34638,24348,0,0,3414,408,2608
2313,1293,2768,2933,512,256,-238,117,415,1343899,-359391,13166,0,0,3414,69,2316
3108,1848,2028,1593,512,256,137,-64,224,113095,-745734,247694,0,1,361,35,3108
3253,2383,2238,2083,512,256,-205,-199,392,1225632,-775442,8674,0,0,3414,647,3253
1333,1793,1288,1998,512,256,420,114,150,214354,-858728,2981,1,0,753,80,1333
198,2473,2368,1828,512,256,-224,308,149,247891,-1545687,462958,0,1,783,12,201
68,2453,2493,2548,512,256,297,182,267,684630,2154,2390,1,0,2069,66,68
693,2228,2253,1098,512,256,250,209,415,1295592,10890,2161,1,0,3325,325,696
1923,1743,2653,1513,512,256,-37,136,172,251021,-763429,13264,0,1,914,392,1923
568,1178,2673,2133,512,256,-233,-102,250,339533,-1092813,53866,0,1,823,84,568
1813,1283,1618,1473,512,256,-149,181,90,85795,-256109,2550,1,0,492,317,1813
3553,2383,3048,1803,512,256,264,-298,284,10206,-566206,484534,0,1,47,8,3553
3183,1803,2783,2718,512,256,100,191,135,87328,-622367,118389,0,1,219,6,3183
1598,2383,3058,2273,512,256,185,217,78,1209797,-122963,8007,0,0,3414,304,1598
2668,1803,1738,1428,512,256,-336,67,201,1189771,-136340,2366,1,0,3368,230,2668
1903,2568,2313,2848,512,256,-232,-138,147,839381,-783372,2956,1,0,1821,35,1903
4073,2573,2813,1148,512,256,-133,-121,307,87053,-307225,2818,1,0,1054,746,4070
273,1873,1788,3033,512,256,264,33,455,799491,-119261,14764,0,0,3414,316,276
1548,2793,2848,2988,512,256,-266,11,27,243,-576397,576397,0,1,93,93,1548
223,1823,1738,1928,512,256,-38,115,9,393,-402942,402942,0,1,138,138,223
3188,2598,2028,2748,512,256,-199,-74,435,608945,-211376,21678,0,1,2620,418,3188
1268,1113,1618,1293,512,256,-323,-134,244,776139,-603444,18462,0,0,3414,820,1268
28,2253,2828,2583,512,256,-129,-87,482,6442,-184162,136567,0,1,30,4,28
2508,1483,2783,2543,512,256,-27,-373,87,54630,-677079,86894,0,1,237,4,2508
3058,2273,1948,1823,512,256,-160,-55,124,133923,-708451,2906,1,0,539,8,3058
3833,1183,3048,1768,512,256,-300,20,329,226,-469616,469616,0,1,88,88,3836
2463,2228,2778,1408,512,256,-120,405,152,956348,-191831,16270,0,0,3414,243,2463
98,1948,1483,2973,512,256,261,218,316,166660,-661264,2692,1,0,1052,478,101
823,2713,2073,2833,512,256,309,244,280,618329,-157474,2916,1,0,2841,683,826
3568,2448,2968,2378,512,256,176,277,194,653659,-309908,2931,1,0,2335,27,3568
2493,1303,1208,1648,512,256,-177,38,152,93722,-388128,2576,1,0,566,189,2493
1228,2673,2508,2373,512,256,140,57,194,294869,-9602,9602,0,1,1603,603,1228
1468,2433,1758,2828,512,256,-242,-111,135,173988,-1148885,444788,0,1,548,8,1468
2078,2563,2783,2803,512,256,-22,289,223,964344,-302633,7029,0,0,3414,127,2078
1588,1033,2338,2543,512,256,309,-290,103,731886,-721464,41660,0,1,2766,77,1588
2973,1548,3068,2293,512,256,228,-109,225,730,-228328,223800,0,1,6,4,2973
2733,1173,1133,2953,512,256,-264,40,144,607,-140228,140228,0,1,229,229,2733
3538,2088,1318,2858,512,256,-26,289,72,789,-225688,225688,0,1,347,347,3535
2113,1373,1523,2473,512,256,-48,249,245,417493,-424645,2751,1,0,1648,223,2113
3733,3033,2688,3063,512,256,88,123,42,57,-510624,510624,0,1,24,24,3733
638,2723,2838,1548,512,256,-112,246,364,788184,-664745,9915,0,0,3414,761,641
1168,2283,2228,2068,512,256,316,-10,372,499534,-736740,50641,0,1,1733,43,1168
2683,1788,1733,1668,512,256,-118,-265,281,57905,-216310,2861,1,0,682,480,2683
263,1463,1393,1973,512,256,223,306,297,230074,-946598,2563,1,0,1247,485,266
938,2263,2238,2083,512,256,-335,202,110,114489,-1187138,419275,0,1,427,17,938
2833,2333,2128,2648,512,256,337,-85,145,284516,-1591377,2578,1,0,882,9,2833
4053,1668,1243,2818,512,256,-56,381,337,408092,-370483,2997,1,0,2029,671,4050
3923,1678,2123,1413,512,256,-153,335,327,752580,-853305,23331,0,0,3414,589,3920
2353,1283,1703,2143,512,256,-194,-110,138,190226,-1023582,2381,1,0,702,50,2353
3163,2708,2378,2138,512,256,-102,-166,441,472,-320974,320974,0,1,232,232,3163
1958,2478,1598,2833,512,256,219,382,135,307137,-1176026,1572,1,0,1054,54,1958
1638,1838,1993,2643,512,256,42,368,150,300070,30640,2278,1,0,1350,350,1638
2508,1628,1668,1443,512,256,-52,46,353,884735,-940571,34135,0,0,3414,509,2508
3433,1958,1653,2563,512,256,-50,214,106,1235,-160256,160256,0,1,530,530,3430
1948,1983,2493,1578,512,256,293,193,180,30630,-129420,2637,1,0,444,323,1948
2348,1808,2078,1263,512,256,-116,230,479,191742,-693916,2291,1,0,824,211,2348
593,2008,1513,2708,512,256,81,386,141,926306,-371811,12917,0,0,3414,52,593
3518,1678,2468,1203,512,256,155,-141,490,190425,-989085,2877,1,0,997,208,3518
