armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,78117,35080,2430,1,0,906,606,3373
158,2313,1588,2603,512,256,24,202,59,2206,35300,2339,1,0,884,884,158
2773,1518,1368,1613,512,256,57,-56,170,1699,-102960,102960,0,1,640,640,2776
1593,1853,2333,2303,512,256,144,147,89,1735,38280,2745,1,0,586,586,1593
3373,1203,1078,2568,512,256,-91,-328,224,264951,33160,2677,1,0,1098,298,3376
1023,2093,1638,2058,512,256,-128,-28,473,2038,-141239,141239,0,1,697,697,1020
2198,1983,1793,2178,512,256,20,205,301,1227,40690,2587,1,0,345,345,2195
343,1463,2133,1243,512,256,-48,-370,136,900,-121632,121632,0,1,318,318,343
538,2358,1928,2798,512,256,242,143,37,1747,38190,2983,1,0,595,595,541
1053,3008,2678,2643,512,256,160,200,48,2803,35010,2828,1,0,913,913,1056
1568,1333,1258,2208,512,256,50,435,125,933161,-22360,12955,0,0,3414,603,1571
223,1818,1313,2638,512,256,-187,224,341,233155,-96965,2739,1,0,1331,634,226
3453,1203,1858,1133,512,256,-156,-324,182,162597,34980,2864,1,0,916,416,3456
2128,1973,1873,1948,512,256,60,156,180,1950,38220,2974,1,0,592,592,2128
3798,2073,2093,1823,512,256,-234,-160,360,204767,35560,2566,1,0,858,258,3795
3493,1143,2173,2088,512,256,60,325,219,261627,-227142,123026,0,1,904,123,3496
3418,1853,2573,1108,512,256,215,175,402,99368,-104054,2624,1,0,1006,707,3415
3668,1133,2793,2263,512,256,-352,21,259,551598,-44494,2931,1,0,2562,915,3668
2483,1493,1593,1025,512,256,285,-182,319,165183,-354515,354515,0,1,846,346,2486
1828,2258,2498,2158,512,256,162,273,226,1509,39610,2904,1,0,453,453,1828
3988,1503,1148,2913,512,256,-257,-59,475,963735,-96450,21186,0,0,3414,438,3985
3633,1583,2138,1693,512,256,30,-346,134,1032,-33041,33041,0,1,371,371,3636
1078,1048,2708,2658,512,256,285,238,74,2940,32730,2505,1,0,1141,1141,1078
2118,1448,1468,2483,512,256,80,-157,378,106271,-110677,111677,0,1,336,35,2121
1088,2908,2423,2938,512,256,391,130,75,96,-35583,35583,0,1,60,60,1091
688,2408,2413,1228,512,256,75,-212,376,911451,-100445,2597,1,0,2782,387,685
2983,1153,2168,2853,512,256,96,120,484,387438,-76844,2887,1,0,1406,428,2986
938,1813,1253,2348,512,256,-103,194,338,1488,-140699,140699,0,1,633,633,941
3868,1328,1253,1943,512,256,-72,88,194,435725,-52111,2877,1,0,1827,672,3865
658,1673,1478,2768,512,256,-11,312,275,112498,-60935,2910,1,0,813,551,661
3943,2128,1393,2913,512,256,193,-262,188,21511,-194232,194232,0,1,110,110,3943
238,1588,2923,1513,512,256,341,49,337,20772,-86559,2678,1,0,678,594,238
2623,1613,1128,2423,512,256,78,-339,29,965,-271754,271754,0,1,468,468,2626
3983,2223,2133,2068,512,256,35,-82,448,1117,-36863,36863,0,1,464,464,3983
428,1118,2913,1768,512,256,188,-342,82,60049,-383160,350187,0,1,1170,944,431
1968,2443,2373,3003,512,256,328,283,86,1180226,-115476,25446,0,0,3414,727,1968
3378,1728,1793,1898,512,256,-175,102,164,176923,-21485,2884,1,0,694,272,3378
2963,1793,1443,1998,512,256,290,51,253,96599,-89314,2849,1,0,793,607,2960
1563,1388,1378,2368,512,256,-132,-161,206,181846,-133247,133247,0,1,774,274,1563
3603,1583,2383,1148,512,256,91,40,508,1305836,-77393,15626,0,0,3414,350,3600
1003,2448,2508,2478,512,256,190,47,119,2493,34019,2973,1,0,1012,1012,1006
623,2603,2718,1378,512,256,-311,162,329,899261,-48886,10313,0,0,3414,1374,626
2608,1248,1113,2263,512,256,73,-60,481,647,-295142,295142,0,1,323,323,2611
2313,1293,2768,2933,512,256,-238,117,415,937654,-109492,16051,0,0,3414,1124,2313
3108,1848,2028,1593,512,256,137,-64,224,207072,-325863,258140,0,1,805,210,3111
3253,2383,2238,2083,512,256,-205,-199,392,712,41140,2249,1,0,300,300,3256
1333,1793,1288,1998,512,256,420,114,150,1141722,-112696,23518,0,0,3414,416,1336
198,2473,2368,1828,512,256,-224,308,149,778294,15350,2492,1,0,2879,879,201
68,2453,2493,2548,512,256,297,182,267,49867,37769,2996,1,0,637,537,68
693,2228,2253,1098,512,256,250,209,415,382452,-77608,2695,1,0,1472,588,696
1923,1743,2653,1513,512,256,-37,136,172,130876,-200018,59779,0,1,564,278,1923
568,1178,2673,2133,512,256,-233,-102,250,421466,-92777,78330,0,1,1493,378,571
1813,1283,1618,1473,512,256,-149,181,90,275677,-58153,2094,1,0,1205,443,1813
3553,2383,3048,1803,512,256,264,-298,284,2683,-537206,512774,0,1,18,8,3553
3183,1803,2783,2718,512,256,100,191,135,121316,-142889,108895,0,1,379,162,3186
1598,2383,3058,2273,512,256,185,217,78,43687,36230,2898,1,0,791,691,1598
2668,1803,1738,1428,512,256,-336,67,201,165644,-28467,2688,1,0,480,50,2665
1903,2568,2313,2848,512,256,-232,-138,147,46154,34030,2434,1,0,1011,911,1903
4073,2573,2813,1148,512,256,-133,-121,307,1538,37360,2735,1,0,678,678,4070
