armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,2302,34950,2561,1,0,919,919,3373
158,2313,1588,2603,512,256,24,202,59,211829,-46401,2514,1,0,2124,1478,161
2773,1518,1368,1613,512,256,57,-56,170,3239,-68379,68379,0,1,1242,1242,2776
1593,1853,2333,2303,512,256,144,147,89,354100,-74551,74551,0,1,3251,2151,1593
3373,1203,1078,2568,512,256,-91,-328,224,690,-178474,178474,0,1,316,316,3373
1023,2093,1638,2058,512,256,-128,-28,473,2394,32290,2449,1,0,1185,1185,1026
2198,1983,1793,2178,512,256,20,205,301,395045,-174774,165411,0,0,3414,2410,2201
343,1463,2133,1243,512,256,-48,-370,136,91537,-319907,303551,0,1,1093,684,343
538,2358,1928,2798,512,256,242,143,37,32646,-156142,67076,0,1,593,450,541
1053,3008,2678,2643,512,256,160,200,48,42240,-251299,156432,0,1,460,285,1056
1568,1333,1258,2208,512,256,50,435,125,373,-266247,266247,0,1,192,192,1571
223,1818,1313,2638,512,256,-187,224,341,122907,-35910,2744,1,0,1344,904,226
3453,1203,1858,1133,512,256,-156,-324,182,940,-225481,225481,0,1,347,347,3456
2128,1973,1873,1948,512,256,60,156,180,300785,-153035,139450,0,0,3414,2506,2128
3798,2073,2093,1823,512,256,-234,-160,360,1187,40150,2140,1,0,399,399,3798
3493,1143,2173,2088,512,256,60,325,219,519205,-101575,11994,0,0,3414,1425,3496
3418,1853,2573,1108,512,256,215,175,402,2703,-276819,276819,0,1,1418,1418,3415
3668,1133,2793,2263,512,256,-352,21,259,2839,32250,2806,1,0,1189,1189,3668
2483,1493,1593,1025,512,256,285,-182,319,1328,-358108,358108,0,1,538,538,2486
1828,2258,2498,2158,512,256,162,273,226,355495,-57739,2177,1,0,2108,457,1828
3988,1503,1148,2913,512,256,-257,-59,475,233067,-151778,151778,0,0,3414,2414,3988
3633,1583,2138,1693,512,256,30,-346,134,44228,-37855,37855,0,1,654,454,3633
1078,1048,2708,2658,512,256,285,238,74,1267,-454951,454951,0,1,600,600,1075
2118,1448,1468,2483,512,256,80,-157,378,1666,-82078,82078,0,1,677,677,2121
1088,2908,2423,2938,512,256,391,130,75,28086,-174136,174136,0,1,804,704,1088
688,2408,2413,1228,512,256,75,-212,376,41486,38230,2603,1,0,591,391,691
2983,1153,2168,2853,512,256,96,120,484,436,-124468,124468,0,1,297,297,2986
938,1813,1253,2348,512,256,-103,194,338,4207,-18542,2753,1,0,838,816,941
3868,1328,1253,1943,512,256,-72,88,194,764,-56685,56685,0,1,554,554,3868
658,1673,1478,2768,512,256,-11,312,275,70427,-27613,2961,1,0,889,563,661
