armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,243736,29010,2838,1,0,1513,513,3373
158,2313,1588,2603,512,256,24,202,59,2222,35430,2209,1,0,871,871,161
2773,1518,1368,1613,512,256,57,-56,170,924,-184080,184080,0,1,404,404,2776
1593,1853,2333,2303,512,256,144,147,89,2198,34870,2780,1,0,927,927,1593
3373,1203,1078,2568,512,256,-91,-328,224,134078,-27257,1479,1,0,810,277,3373
1023,2093,1638,2058,512,256,-128,-28,473,350512,20980,2926,1,0,2316,1116,1026
2198,1983,1793,2178,512,256,20,205,301,6675,-10281,2360,1,0,379,365,2195
343,1463,2133,1243,512,256,-48,-370,136,604,-122044,122044,0,1,313,313,343
538,2358,1928,2798,512,256,242,143,37,1189,38250,2983,1,0,589,589,541
1053,3008,2678,2643,512,256,160,200,48,2179,35190,2828,1,0,895,895,1053
1568,1333,1258,2208,512,256,50,435,125,885498,-98561,22573,0,0,3414,435,1568
223,1818,1313,2638,512,256,-187,224,341,223426,-359040,225028,0,1,1134,336,226
3453,1203,1858,1133,512,256,-156,-324,182,150235,37200,2227,1,0,694,194,3453
2128,1973,1873,1948,512,256,60,156,180,2557,669,2427,1,0,614,611,2125
3798,2073,2093,1823,512,256,-234,-160,360,11771,-52862,2866,1,0,240,195,3795
3493,1143,2173,2088,512,256,60,325,219,76660,-459930,349781,0,1,297,10,3493
3418,1853,2573,1108,512,256,215,175,402,187184,-20069,2710,1,0,1285,659,3415
3668,1133,2793,2263,512,256,-352,21,259,39253,33360,2432,1,0,1078,978,3668
2483,1493,1593,1025,512,256,285,-182,319,25078,-314478,314478,0,1,706,606,2486
1828,2258,2498,2158,512,256,162,273,226,1321,39129,2904,1,0,501,501,1828
3988,1503,1148,2913,512,256,-257,-59,475,56367,-213938,176543,0,1,483,356,3985
3633,1583,2138,1693,512,256,30,-346,134,750,-33451,33451,0,1,371,371,3633
