armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,5732,35379,2140,1,0,876,871,3373
158,2313,1588,2603,512,256,24,202,59,2041,-33665,33665,0,1,815,815,158
2773,1518,1368,1613,512,256,57,-56,170,2512,-70672,70672,0,1,884,884,2773
1593,1853,2333,2303,512,256,144,147,89,6050,4744,2853,1,0,894,882,1593
3373,1203,1078,2568,512,256,-91,-328,224,412,-190089,190089,0,1,167,167,3376
1023,2093,1638,2058,512,256,-128,-28,473,4574,-133072,133072,0,1,1335,1332,1026
2198,1983,1793,2178,512,256,20,205,301,6360,36690,2617,1,0,745,732,2198
343,1463,2133,1243,512,256,-48,-370,136,9327,-160304,160304,0,1,1491,1476,343
538,2358,1928,2798,512,256,242,143,37,955,-51780,51780,0,1,398,398,538
1053,3008,2678,2643,512,256,160,200,48,1056,-196192,196192,0,1,132,131,1056
1568,1333,1258,2208,512,256,50,435,125,331865,-48789,48789,0,0,3414,2701,1571
223,1818,1313,2638,512,256,-187,224,341,375565,-188579,188579,0,0,3414,2754,223
3453,1203,1858,1133,512,256,-156,-324,182,846,-246998,246998,0,1,337,337,3453
2128,1973,1873,1948,512,256,60,156,180,34255,6794,1745,1,0,1439,1336,2128
3798,2073,2093,1823,512,256,-234,-160,360,409179,-67710,67710,0,0,3414,2564,3795
3493,1143,2173,2088,512,256,60,325,219,14233,29070,2850,1,0,1507,1475,3496
3418,1853,2573,1108,512,256,215,175,402,298530,-101020,101020,0,0,3414,2854,3415
3668,1133,2793,2263,512,256,-352,21,259,3992,32650,2923,1,0,1149,1146,3668
2483,1493,1593,1025,512,256,285,-182,319,401,-425986,425986,0,1,157,157,2483
1828,2258,2498,2158,512,256,162,273,226,5564,5445,2919,1,0,676,662,1828
3988,1503,1148,2913,512,256,-257,-59,475,2522,-285878,285878,0,1,587,584,3985
