armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,235053,-862400,2843,1,0,791,59,3373
158,2313,1588,2603,512,256,24,202,59,78771,-343128,2750,1,0,810,571,161
2773,1518,1368,1613,512,256,57,-56,170,137145,-632154,104329,0,1,727,310,2776
1593,1853,2333,2303,512,256,144,147,89,230916,-894338,2881,1,0,983,303,1593
3373,1203,1078,2568,512,256,-91,-328,224,247976,-941137,2969,1,0,1085,309,3373
1023,2093,1638,2058,512,256,-128,-28,473,3520,32290,2449,1,0,1185,1185,1026
2198,1983,1793,2178,512,256,20,205,301,87711,-454313,2753,1,0,302,16,2201
343,1463,2133,1243,512,256,-48,-370,136,179177,-768409,56474,0,1,742,214,343
538,2358,1928,2798,512,256,242,143,37,9951,-99455,42615,0,1,395,367,541
1053,3008,2678,2643,512,256,160,200,48,98216,-472019,119036,0,1,528,224,1056
1568,1333,1258,2208,512,256,50,435,125,532,-266247,266247,0,1,192,192,1571
223,1818,1313,2638,512,256,-187,224,341,192097,-645727,2387,1,0,1431,836,226
3453,1203,1858,1133,512,256,-156,-324,182,895,-225481,225481,0,1,347,347,3456
2128,1973,1873,1948,512,256,60,156,180,155190,-620520,2548,1,0,642,175,2128
3798,2073,2093,1823,512,256,-234,-160,360,1153,40150,2140,1,0,399,399,3798
3493,1143,2173,2088,512,256,60,325,219,50665,-510724,218835,0,1,295,129,3496
3418,1853,2573,1108,512,256,215,175,402,888320,-819575,11259,0,0,3414,622,3415
3668,1133,2793,2263,512,256,-352,21,259,3778,32250,2806,1,0,1189,1189,3668
2483,1493,1593,1025,512,256,285,-182,319,1745,-358108,358108,0,1,538,538,2486
1828,2258,2498,2158,512,256,162,273,226,133494,-530677,2135,1,0,528,100,1828
3988,1503,1148,2913,512,256,-257,-59,475,914403,-840425,19627,0,0,3414,588,3988
3633,1583,2138,1693,512,256,30,-346,134,82227,-538565,33150,0,1,481,220,3633
1078,1048,2708,2658,512,256,285,238,74,1641,-454951,454951,0,1,600,600,1075
2118,1448,1468,2483,512,256,80,-157,378,2218,-82078,82078,0,1,677,677,2121
1088,2908,2423,2938,512,256,391,130,75,289039,-962573,2630,1,0,1135,266,1088
688,2408,2413,1228,512,256,75,-212,376,211145,-1025782,2498,1,0,681,17,691
2983,1153,2168,2853,512,256,96,120,484,786,-124468,124468,0,1,297,297,2986
938,1813,1253,2348,512,256,-103,194,338,491883,-555911,2887,1,0,2234,682,941
3868,1328,1253,1943,512,256,-72,88,194,1520,-56685,56685,0,1,554,554,3868
658,1673,1478,2768,512,256,-11,312,275,899630,-886855,14819,0,0,3414,545,661
3943,2128,1393,2913,512,256,193,-262,188,923983,-1174598,228733,0,1,2961,23,3940
238,1588,2923,1513,512,256,341,49,337,253,-395779,395779,0,1,99,99,238
2623,1613,1128,2423,512,256,78,-339,29,313,-509903,509903,0,1,118,118,2623
3983,2223,2133,2068,512,256,35,-82,448,50303,-474431,109503,0,1,293,136,3983
428,1118,2913,1768,512,256,188,-342,82,2800,35060,2794,1,0,908,908,428
1968,2443,2373,3003,512,256,328,283,86,911,-85089,85089,0,1,298,298,1968
3378,1728,1793,1898,512,256,-175,102,164,1755,38100,2813,1,0,604,604,3375
2963,1793,1443,1998,512,256,290,51,253,120228,-464154,2865,1,0,1140,771,2960
1563,1388,1378,2368,512,256,-132,-161,206,167854,-947502,333655,0,1,549,17,1563
3603,1583,2383,1148,512,256,91,40,508,3547,-134470,134470,0,1,1319,1319,3600
1003,2448,2508,2478,512,256,190,47,119,406471,-300145,2993,1,0,1458,174,1006
623,2603,2718,1378,512,256,-311,162,329,2425,-72322,72322,0,1,862,862,626
2608,1248,1113,2263,512,256,73,-60,481,1303,-223200,223200,0,1,415,415,2608
2313,1293,2768,2933,512,256,-238,117,415,360060,-146918,2693,1,0,1168,32,2316
3108,1848,2028,1593,512,256,137,-64,224,525927,-794697,151349,0,1,1731,105,3108
3253,2383,2238,2083,512,256,-205,-199,392,1339,40100,2465,1,0,404,404,3253
1333,1793,1288,1998,512,256,420,114,150,581056,-848930,2717,1,0,1985,138,1333
198,2473,2368,1828,512,256,-224,308,149,245414,-1463515,513008,0,1,741,59,201
68,2453,2493,2548,512,256,297,182,267,1302015,-298890,12744,0,0,3414,141,71
693,2228,2253,1098,512,256,250,209,415,12291,-369460,311006,0,1,391,341,693
1923,1743,2653,1513,512,256,-37,136,172,883889,-996365,2890,1,0,2432,451,1923
568,1178,2673,2133,512,256,-233,-102,250,393530,-1137225,105224,0,1,1198,317,568
1813,1283,1618,1473,512,256,-149,181,90,131683,-436515,2761,1,0,634,300,1816
3553,2383,3048,1803,512,256,264,-298,284,266336,-1160853,287090,0,1,661,34,3553
3183,1803,2783,2718,512,256,100,191,135,41549,-502365,163359,0,1,245,137,3186
1598,2383,3058,2273,512,256,185,217,78,552703,-325963,2682,1,0,1548,236,1598
2668,1803,1738,1428,512,256,-336,67,201,119094,-369917,2679,1,0,419,139,2668
1903,2568,2313,2848,512,256,-232,-138,147,2749,33230,2906,1,0,1091,1091,1903
4073,2573,2813,1148,512,256,-133,-121,307,150,-293567,293567,0,1,87,87,4073
273,1873,1788,3033,512,256,264,33,455,1092781,-236147,14797,0,0,3414,189,273
1548,2793,2848,2988,512,256,-266,11,27,248,-576397,576397,0,1,93,93,1548
223,1823,1738,1928,512,256,-38,115,9,1697,-217667,217667,0,1,637,637,226
3188,2598,2028,2748,512,256,-199,-74,435,1657,38610,2429,1,0,553,553,3188
1268,1113,1618,1293,512,256,-323,-134,244,269931,-1049897,2930,1,0,1579,768,1271
28,2253,2828,2583,512,256,-129,-87,482,7464,-188263,136334,0,1,35,12,28
2508,1483,2783,2543,512,256,-27,-373,87,32986,-555038,150847,0,1,115,11,2508
3058,2273,1948,1823,512,256,-160,-55,124,2070,37980,2744,1,0,616,616,3061
3833,1183,3048,1768,512,256,-300,20,329,321878,26710,2962,1,0,1743,743,3833
2463,2228,2778,1408,512,256,-120,405,152,728264,-246715,20736,0,1,2404,182,2460
98,1948,1483,2973,512,256,261,218,316,1714,-368391,368391,0,1,460,460,101
823,2713,2073,2833,512,256,309,244,280,502848,-507001,2665,1,0,1874,370,826
3568,2448,2968,2378,512,256,176,277,194,315201,-1059095,2806,1,0,1717,760,3565
2493,1303,1208,1648,512,256,-177,38,152,42248,-130302,2650,1,0,301,181,2493
1228,2673,2508,2373,512,256,140,57,194,874077,-768962,10291,0,1,2923,175,1231
1468,2433,1758,2828,512,256,-242,-111,135,2910,35110,2676,1,0,903,903,1471
2078,2563,2783,2803,512,256,-22,289,223,205988,-710415,2006,1,0,779,144,2078
1588,1033,2338,2543,512,256,309,-290,103,1025556,-47403,15036,0,0,3414,389,1588
2973,1548,3068,2293,512,256,228,-109,225,5429,-250053,200619,0,1,30,13,2973
2733,1173,1133,2953,512,256,-264,40,144,212766,-707540,2971,1,0,1031,359,2733
3538,2088,1318,2858,512,256,-26,289,72,1953,-68915,69915,0,1,557,556,3535
2113,1373,1523,2473,512,256,-48,249,245,873942,-772512,2933,1,0,3022,258,2113
3733,3033,2688,3063,512,256,88,123,42,1468,-427565,427565,0,1,320,320,3730
638,2723,2838,1548,512,256,-112,246,364,189240,-895124,2711,1,0,1227,626,641
1168,2283,2228,2068,512,256,316,-10,372,962334,-917509,2965,1,0,2952,30,1171
2683,1788,1733,1668,512,256,-118,-265,281,982080,-939960,15274,0,0,3414,493,2683
263,1463,1393,1973,512,256,223,306,297,554,-459410,459410,0,1,166,166,263
938,2263,2238,2083,512,256,-335,202,110,2094,36960,1205,1,0,718,718,941
2833,2333,2128,2648,512,256,337,-85,145,2631,36280,2820,1,0,786,786,2833
4053,1668,1243,2818,512,256,-56,381,337,862798,-679432,25602,0,0,3414,765,4053
3923,1678,2123,1413,512,256,-153,335,327,911160,-832905,18399,0,0,3414,607,3923
2353,1283,1703,2143,512,256,-194,-110,138,3248,33150,2535,1,0,1099,1099,2356
3163,2708,2378,2138,512,256,-102,-166,441,2933,34870,2805,1,0,927,927,3163
1958,2478,1598,2833,512,256,219,382,135,1078838,-61581,30966,0,0,3414,383,1958
1638,1838,1993,2643,512,256,42,368,150,1127603,-993513,11304,0,0,3414,444,1641
2508,1628,1668,1443,512,256,-52,46,353,176054,-518739,2920,1,0,571,225,2508
3433,1958,1653,2563,512,256,-50,214,106,212830,-535452,1863,1,0,753,402,3430
1948,1983,2493,1578,512,256,293,193,180,1070099,-74079,22340,0,0,3414,366,1948
2348,1808,2078,1263,512,256,-116,230,479,185691,-770016,27952,0,1,897,224,2348
593,2008,1513,2708,512,256,81,386,141,821670,-872161,16981,0,0,3414,566,596
3518,1678,2468,1203,512,256,155,-141,490,604,-177271,177271,0,1,215,215,3521
