armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,59699,35500,2732,1,0,864,749,3373
158,2313,1588,2603,512,256,24,202,59,1814,35440,2603,1,0,870,870,158
2773,1518,1368,1613,512,256,57,-56,170,1078,-183840,183840,0,1,399,399,2776
1593,1853,2333,2303,512,256,144,147,89,242967,-27269,27269,0,1,1706,940,1593
3373,1203,1078,2568,512,256,-91,-328,224,34,-266925,266925,0,1,18,18,3373
1023,2093,1638,2058,512,256,-128,-28,473,461741,-20297,20297,0,0,3414,1897,1026
2198,1983,1793,2178,512,256,20,205,301,23911,1311,2971,1,0,457,388,2198
343,1463,2133,1243,512,256,-48,-370,136,237160,-58892,54739,0,1,946,236,346
538,2358,1928,2798,512,256,242,143,37,1378,37920,2963,1,0,622,622,538
1053,3008,2678,2643,512,256,160,200,48,4420,34980,2306,1,0,916,911,1053
1568,1333,1258,2208,512,256,50,435,125,482264,-26464,23769,0,0,3414,1798,1568
223,1818,1313,2638,512,256,-187,224,341,423270,-15141,15141,0,0,3414,1678,226
3453,1203,1858,1133,512,256,-156,-324,182,144546,33010,2822,1,0,1113,583,3453
2128,1973,1873,1948,512,256,60,156,180,37062,36540,2977,1,0,760,645,2128
3798,2073,2093,1823,512,256,-234,-160,360,450599,-24842,24842,0,0,3414,1594,3798
3493,1143,2173,2088,512,256,60,325,219,249856,-114814,108384,0,1,1135,191,3493
3418,1853,2573,1108,512,256,215,175,402,527201,-12780,12001,0,0,3414,1647,3418
3668,1133,2793,2263,512,256,-352,21,259,51793,30080,2256,1,0,1406,1229,3668
2483,1493,1593,1025,512,256,285,-182,319,4938,-347481,347481,0,1,559,544,2486
1828,2258,2498,2158,512,256,162,273,226,476309,-11930,11930,0,0,3414,1839,1828
3988,1503,1148,2913,512,256,-257,-59,475,14313,-276666,276666,0,1,199,159,3988
3633,1583,2138,1693,512,256,30,-346,134,1148,-151111,151111,0,1,380,380,3633
