armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,6873,29060,2696,1,0,1508,1507,3373
158,2313,1588,2603,512,256,24,202,59,19339,29430,2860,1,0,1471,1459,161
2773,1518,1368,1613,512,256,57,-56,170,1188,-178759,178759,0,1,471,471,2776
1593,1853,2333,2303,512,256,144,147,89,13155,20090,2603,1,0,2405,2388,1593
3373,1203,1078,2568,512,256,-91,-328,224,13817,35360,2663,1,0,878,839,3373
1023,2093,1638,2058,512,256,-128,-28,473,2977,31820,2124,1,0,1232,1231,1026
2198,1983,1793,2178,512,256,20,205,301,289672,-26233,24675,0,0,3414,2760,2201
343,1463,2133,1243,512,256,-48,-370,136,73087,23020,2549,1,0,2112,2070,343
538,2358,1928,2798,512,256,242,143,37,2324,-134649,135649,0,1,467,464,538
1053,3008,2678,2643,512,256,160,200,48,254,-195015,195015,0,1,120,120,1053
1568,1333,1258,2208,512,256,50,435,125,454146,-55678,53491,0,0,3414,2557,1568
223,1818,1313,2638,512,256,-187,224,341,228261,-129516,129516,0,0,3414,2857,226
3453,1203,1858,1133,512,256,-156,-324,182,22568,34350,2897,1,0,979,906,3453
2128,1973,1873,1948,512,256,60,156,180,7150,28150,2918,1,0,1599,1590,2128
3798,2073,2093,1823,512,256,-234,-160,360,513,41660,1796,1,0,248,248,3798
3493,1143,2173,2088,512,256,60,325,219,6706,32629,2558,1,0,1151,1138,3493
3418,1853,2573,1108,512,256,215,175,402,237232,-222755,223755,0,1,2270,1758,3418
3668,1133,2793,2263,512,256,-352,21,259,39438,6691,2554,1,0,1648,1529,3668
2483,1493,1593,1025,512,256,285,-182,319,1210,-358108,358108,0,1,538,538,2486
1828,2258,2498,2158,512,256,162,273,226,11899,26790,2306,1,0,1735,1711,1828
3988,1503,1148,2913,512,256,-257,-59,475,2141,-273782,273782,0,1,1095,1095,3988
3633,1583,2138,1693,512,256,30,-346,134,800,-33220,33220,0,1,369,369,3633
1078,1048,2708,2658,512,256,285,238,74,32058,11210,2907,1,0,3293,3234,1078
2118,1448,1468,2483,512,256,80,-157,378,1570,-82906,82906,0,1,692,692,2121
1088,2908,2423,2938,512,256,391,130,75,617,-36754,36754,0,1,74,73,1088
688,2408,2413,1228,512,256,75,-212,376,53291,5807,2710,1,0,922,769,685
2983,1153,2168,2853,512,256,96,120,484,1164,-308264,308638,0,1,46,43,2983
938,1813,1253,2348,512,256,-103,194,338,9836,-121342,121342,0,1,764,762,941
3868,1328,1253,1943,512,256,-72,88,194,1528,-51500,51500,0,1,617,617,3868
658,1673,1478,2768,512,256,-11,312,275,413630,-14352,12392,0,0,3414,2645,658
3943,2128,1393,2913,512,256,193,-262,188,14352,-194242,194242,0,1,1348,1314,3943
238,1588,2923,1513,512,256,341,49,337,18814,23770,2722,1,0,2037,1999,238
2623,1613,1128,2423,512,256,78,-339,29,226,-509903,509903,0,1,118,118,2623
3983,2223,2133,2068,512,256,35,-82,448,3420,-36256,36256,0,1,936,932,3983
428,1118,2913,1768,512,256,188,-342,82,1517,36269,2898,1,0,787,787,428
1968,2443,2373,3003,512,256,328,283,86,347332,-7485,7485,0,0,3414,2562,1968
3378,1728,1793,1898,512,256,-175,102,164,1740,36560,2597,1,0,758,758,3378
2963,1793,1443,1998,512,256,290,51,253,36775,-295104,295104,0,0,3414,3355,2963
1563,1388,1378,2368,512,256,-132,-161,206,13293,30500,2779,1,0,1364,1328,1563
3603,1583,2383,1148,512,256,91,40,508,1141,-136292,136292,0,1,322,321,3603
1003,2448,2508,2478,512,256,190,47,119,16505,12650,2749,1,0,3149,3126,1003
623,2603,2718,1378,512,256,-311,162,329,56214,29750,2466,1,0,1439,1356,626
2608,1248,1113,2263,512,256,73,-60,481,691,-293841,293841,0,1,330,330,2611
2313,1293,2768,2933,512,256,-238,117,415,24129,30190,2505,1,0,1395,1382,2316
3108,1848,2028,1593,512,256,137,-64,224,53633,-288994,288994,0,0,3414,3397,3108
