armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,716177,22990,2894,1,0,2115,115,3373
158,2313,1588,2603,512,256,24,202,59,900986,-972080,2659,1,0,2630,671,161
2773,1518,1368,1613,512,256,57,-56,170,1077,-178759,178759,0,1,471,471,2776
1593,1853,2333,2303,512,256,144,147,89,308990,-1007774,2957,1,0,1129,336,1593
3373,1203,1078,2568,512,256,-91,-328,224,249989,-618098,2336,1,0,736,266,3373
1023,2093,1638,2058,512,256,-128,-28,473,508779,23040,2818,1,0,2110,1110,1026
2198,1983,1793,2178,512,256,20,205,301,775935,-874327,2839,1,0,1901,35,2201
343,1463,2133,1243,512,256,-48,-370,136,66756,-422548,60907,0,1,538,280,343
538,2358,1928,2798,512,256,242,143,37,18973,-152457,74998,0,1,480,412,538
1053,3008,2678,2643,512,256,160,200,48,277,-195015,195015,0,1,120,120,1053
1568,1333,1258,2208,512,256,50,435,125,1245803,-149674,18960,0,0,3414,296,1568
223,1818,1313,2638,512,256,-187,224,341,280144,-1139758,2764,1,0,1350,540,226
3453,1203,1858,1133,512,256,-156,-324,182,412250,30160,2201,1,0,1398,398,3453
2128,1973,1873,1948,512,256,60,156,180,245567,-786293,2795,1,0,895,264,2128
3798,2073,2093,1823,512,256,-234,-160,360,536,41660,1796,1,0,248,248,3798
3493,1143,2173,2088,512,256,60,325,219,497967,-406279,2877,1,0,1352,56,3493
3418,1853,2573,1108,512,256,215,175,402,297206,-936398,2177,1,0,1256,525,3418
3668,1133,2793,2263,512,256,-352,21,259,387608,22200,2803,1,0,2194,1194,3668
2483,1493,1593,1025,512,256,285,-182,319,1294,-358108,358108,0,1,538,538,2486
1828,2258,2498,2158,512,256,162,273,226,231494,-638098,2959,1,0,713,178,1828
3988,1503,1148,2913,512,256,-257,-59,475,444162,23620,2545,1,0,2052,1052,3988
3633,1583,2138,1693,512,256,30,-346,134,743,-33220,33220,0,1,369,369,3633
1078,1048,2708,2658,512,256,285,238,74,350538,-904118,2966,1,0,1684,816,1078
2118,1448,1468,2483,512,256,80,-157,378,1679,-82906,82906,0,1,692,692,2121
1088,2908,2423,2938,512,256,391,130,75,141271,-297546,1699,1,0,342,70,1088
688,2408,2413,1228,512,256,75,-212,376,68618,-155627,2590,1,0,483,354,685
2983,1153,2168,2853,512,256,96,120,484,1422847,-366936,58246,0,0,3414,98,2983
938,1813,1253,2348,512,256,-103,194,338,289543,-598989,1402,1,0,1238,715,941
3868,1328,1253,1943,512,256,-72,88,194,1488,-51500,51500,0,1,617,617,3868
658,1673,1478,2768,512,256,-11,312,275,293877,-1277747,2749,1,0,827,15,658
3943,2128,1393,2913,512,256,193,-262,188,391575,-196040,196040,0,1,1046,46,3943
238,1588,2923,1513,512,256,341,49,337,163257,-828673,2345,1,0,615,173,238
2623,1613,1128,2423,512,256,78,-339,29,246,-509903,509903,0,1,118,118,2623
3983,2223,2133,2068,512,256,35,-82,448,428100,-60536,60536,0,1,1342,342,3983
428,1118,2913,1768,512,256,188,-342,82,1513,36269,2898,1,0,787,787,428
1968,2443,2373,3003,512,256,328,283,86,1670447,-127905,40116,0,0,3414,335,1968
3378,1728,1793,1898,512,256,-175,102,164,2093,36560,2597,1,0,758,758,3378
2963,1793,1443,1998,512,256,290,51,253,1132979,-672820,9658,0,0,3414,764,2963
