armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,1892,35110,2791,1,0,903,903,3373
158,2313,1588,2603,512,256,24,202,59,26088,-169098,169098,0,0,3414,3370,161
2773,1518,1368,1613,512,256,57,-56,170,1373,-82698,82698,0,1,689,689,2776
1593,1853,2333,2303,512,256,144,147,89,59703,-249473,249473,0,0,3414,3334,1593
3373,1203,1078,2568,512,256,-91,-328,224,628,-178857,178857,0,1,306,306,3373
1023,2093,1638,2058,512,256,-128,-28,473,2843,-131348,131348,0,1,1305,1305,1026
2198,1983,1793,2178,512,256,20,205,301,331998,-13646,12408,0,0,3414,2557,2201
343,1463,2133,1243,512,256,-48,-370,136,5461,-122954,122954,0,1,1477,1472,343
538,2358,1928,2798,512,256,242,143,37,5107,-73588,74588,0,1,455,436,541
1053,3008,2678,2643,512,256,160,200,48,19,-307216,307216,0,1,18,18,1053
1568,1333,1258,2208,512,256,50,435,125,377062,-6617,6617,0,0,3414,2600,1568
223,1818,1313,2638,512,256,-187,224,341,108477,-206018,206018,0,1,2304,1978,226
3453,1203,1858,1133,512,256,-156,-324,182,702,-232232,232232,0,1,353,353,3453
2128,1973,1873,1948,512,256,60,156,180,20032,-307014,307014,0,0,3414,3385,2128
3798,2073,2093,1823,512,256,-234,-160,360,258522,-7317,7317,0,0,3414,2526,3798
3493,1143,2173,2088,512,256,60,325,219,210966,-13337,13337,0,0,3414,2733,3493
3418,1853,2573,1108,512,256,215,175,402,1661,-275505,275505,0,1,527,527,3418
3668,1133,2793,2263,512,256,-352,21,259,7847,31530,2713,1,0,1261,1243,3668
2483,1493,1593,1025,512,256,285,-182,319,1045,-358108,358108,0,1,538,538,2486
1828,2258,2498,2158,512,256,162,273,226,252687,-13764,13444,0,0,3414,2505,1828
