armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
2048,2048,2048,2048,512,256,-297,-145,351,304,22040,1984,1,0,506,506,2048
2048,2048,2048,2048,512,256,-199,-153,251,445,19450,2497,1,0,765,765,2048
2048,2048,2048,2048,512,256,75,-304,70,494,19360,2859,1,0,774,774,2045
2048,2048,2048,2048,512,256,24,201,60,207,23630,2813,1,0,347,347,2045
2048,2048,2048,2048,512,256,-146,73,103,489,-3562,3562,0,1,794,794,2048
2048,2048,2048,2048,512,256,57,-56,170,632,-51314,51314,0,1,1051,1051,2045
2048,2048,2048,2048,512,256,114,134,510,295,21870,2847,1,0,523,523,2048
2048,2048,2048,2048,512,256,144,145,86,500,-77020,77020,0,1,794,794,2045
2048,2048,2048,2048,512,256,-127,-62,272,602,16770,2812,1,0,1033,1033,2048
2048,2048,2048,2048,512,256,-91,-328,224,451,20420,2258,1,0,668,668,2048
2048,2048,2048,2048,512,256,288,-2,76,336,-14337,14337,0,0,525,525,2045
2048,2048,2048,2048,512,256,-130,-27,471,572,18210,2556,1,0,889,889,2048
2048,2048,2048,2048,512,256,-73,315,216,215,-16943,16943,0,0,349,349,2048
2048,2048,2048,2048,512,256,21,203,303,274,22740,2421,1,0,436,436,2048
2048,2048,2048,2048,512,256,71,-124,339,717,16009,2689,1,0,1109,1109,2048
2048,2048,2048,2048,512,256,-31,-352,155,464,19730,2257,1,0,737,737,2048
2048,2048,2048,2048,512,256,262,-242,214,347,21670,2379,1,0,543,543,2045
2048,2048,2048,2048,512,256,242,141,38,326,-50852,50852,0,0,477,477,2045
2048,2048,2048,2048,512,256,412,15,81,323,-132122,132122,0,0,482,482,2045
2048,2048,2048,2048,512,256,159,198,48,199,23860,2979,1,0,324,324,2045
2048,2048,2048,2048,512,256,127,140,238,558,18610,2666,1,0,849,849,2045
2048,2048,2048,2048,512,256,53,435,128,90,-135521,135521,0,0,128,128,2048
2048,2048,2048,2048,512,256,82,-237,194,606,17860,2589,1,0,924,924,2045
2048,2048,2048,2048,512,256,-186,225,341,202,23750,2783,1,0,335,335,2048
2048,2048,2048,2048,512,256,-45,-103,264,665,-51271,51271,0,1,1137,1137,2051
2048,2048,2048,2048,512,256,-143,-328,190,403,20200,2587,1,0,690,690,2048
2048,2048,2048,2048,512,256,-39,316,203,197,-14395,14395,0,0,332,332,2048
2048,2048,2048,2048,512,256,60,156,179,477,-3611,3611,0,1,774,774,2045
2048,2048,2048,2048,512,256,-151,-307,220,378,20880,2559,1,0,622,622,2048
2048,2048,2048,2048,512,256,-234,-157,359,386,20240,2782,1,0,686,686,2048
2048,2048,2048,2048,512,256,115,85,494,501,-42038,42038,0,0,818,818,2048
