armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,104362,32110,2810,1,0,1203,803,3373
158,2313,1588,2603,512,256,24,202,59,1995,35430,2209,1,0,871,871,161
2773,1518,1368,1613,512,256,57,-56,170,933,-184080,184080,0,1,404,404,2776
1593,1853,2333,2303,512,256,144,147,89,2082,34870,2780,1,0,927,927,1593
3373,1203,1078,2568,512,256,-91,-328,224,208824,-93390,2724,1,0,1054,257,3373
1023,2093,1638,2058,512,256,-128,-28,473,170262,957,2531,1,0,1559,1053,1026
2198,1983,1793,2178,512,256,20,205,301,51748,38390,2842,1,0,575,375,2195
343,1463,2133,1243,512,256,-48,-370,136,668,-122044,122044,0,1,313,313,343
538,2358,1928,2798,512,256,242,143,37,1233,38250,2983,1,0,589,589,541
1053,3008,2678,2643,512,256,160,200,48,2062,35190,2828,1,0,895,895,1053
1568,1333,1258,2208,512,256,50,435,125,247357,-34152,2967,1,0,1225,284,1568
223,1818,1313,2638,512,256,-187,224,341,495694,-11332,11332,0,0,3414,1514,226
3453,1203,1858,1133,512,256,-156,-324,182,160960,603,2821,1,0,701,197,3453
2128,1973,1873,1948,512,256,60,156,180,4498,-1330,2373,1,0,616,611,2125
3798,2073,2093,1823,512,256,-234,-160,360,34686,41070,2533,1,0,307,207,3795
3493,1143,2173,2088,512,256,60,325,219,90671,-365129,150119,0,1,301,27,3493
3418,1853,2573,1108,512,256,215,175,402,213351,31560,2914,1,0,1258,658,3415
3668,1133,2793,2263,512,256,-352,21,259,34567,32740,2746,1,0,1140,1040,3668
2483,1493,1593,1025,512,256,285,-182,319,1833,-336980,336980,0,1,691,691,2486
1828,2258,2498,2158,512,256,162,273,226,1343,39129,2904,1,0,501,501,1828
3988,1503,1148,2913,512,256,-257,-59,475,1017309,-74357,14007,0,0,3414,451,3985
3633,1583,2138,1693,512,256,30,-346,134,1036,-33451,33451,0,1,371,371,3633
1078,1048,2708,2658,512,256,285,238,74,129858,31890,2791,1,0,1225,825,1078
2118,1448,1468,2483,512,256,80,-157,378,1816,-82008,82008,0,1,688,688,2121
1088,2908,2423,2938,512,256,391,130,75,72609,-26544,2406,1,0,281,55,1091
688,2408,2413,1228,512,256,75,-212,376,50918,-52817,2786,1,0,577,427,685
2983,1153,2168,2853,512,256,96,120,484,73529,39790,2596,1,0,435,235,2986
938,1813,1253,2348,512,256,-103,194,338,427895,21910,2492,1,0,2223,923,941
3868,1328,1253,1943,512,256,-72,88,194,469,-233767,233767,0,1,151,151,3868
658,1673,1478,2768,512,256,-11,312,275,196847,30930,2719,1,0,1321,721,661
3943,2128,1393,2913,512,256,193,-262,188,365,-194464,194464,0,1,124,124,3943
238,1588,2923,1513,512,256,341,49,337,34738,36690,2927,1,0,745,645,238
