armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,577,36120,2635,1,0,802,802,3373
158,2313,1588,2603,512,256,24,202,59,641,34030,2446,1,0,1011,1011,161
2773,1518,1368,1613,512,256,57,-56,170,630,-62355,62355,0,1,897,897,2770
1593,1853,2333,2303,512,256,144,147,89,381,38750,2740,1,0,539,539,1596
3373,1203,1078,2568,512,256,-91,-328,224,13,-266925,266925,0,1,18,18,3373
1023,2093,1638,2058,512,256,-128,-28,473,494,-153680,153680,0,1,694,694,1026
2198,1983,1793,2178,512,256,20,205,301,595,37350,2423,1,0,679,679,2195
343,1463,2133,1243,512,256,-48,-370,136,1123,-242470,242470,0,1,1440,1440,346
538,2358,1928,2798,512,256,242,143,37,420,-72069,72069,0,1,610,610,541
1053,3008,2678,2643,512,256,160,200,48,707,33410,2812,1,0,1073,1073,1056
1568,1333,1258,2208,512,256,50,435,125,103,-266143,266143,0,0,171,171,1571
223,1818,1313,2638,512,256,-187,224,341,416,-211269,211269,0,0,664,664,226
3453,1203,1858,1133,512,256,-156,-324,182,195,-271402,271402,0,1,283,283,3453
2128,1973,1873,1948,512,256,60,156,180,590,35280,2618,1,0,886,886,2125
3798,2073,2093,1823,512,256,-234,-160,360,180,-19737,19737,0,0,271,271,3795
3493,1143,2173,2088,512,256,60,325,219,155,-371081,371081,0,0,247,247,3496
3418,1853,2573,1108,512,256,215,175,402,320,-204492,204492,0,0,514,514,3415
3668,1133,2793,2263,512,256,-352,21,259,91,-520907,520907,0,1,143,143,3671
2483,1493,1593,1025,512,256,285,-182,319,533,-303911,303911,0,1,807,807,2480
1828,2258,2498,2158,512,256,162,273,226,354,38990,2672,1,0,515,515,1828
3988,1503,1148,2913,512,256,-257,-59,475,258,-284155,284155,0,1,381,381,3985
3633,1583,2138,1693,512,256,30,-346,134,1072,-147296,147296,0,1,1509,1509,3633
1078,1048,2708,2658,512,256,285,238,74,1257,-273394,273394,0,0,2041,2041,1075
2118,1448,1468,2483,512,256,80,-157,378,425,-24677,24677,0,0,603,603,2115
1088,2908,2423,2938,512,256,391,130,75,557,-205813,205813,0,1,782,782,1091
688,2408,2413,1228,512,256,75,-212,376,236,-51535,51535,0,0,327,327,688
2983,1153,2168,2853,512,256,96,120,484,107,-241238,241238,0,1,172,172,2986
938,1813,1253,2348,512,256,-103,194,338,364,-140829,140829,0,0,512,512,941
3868,1328,1253,1943,512,256,-72,88,194,383,-51580,51580,0,1,544,544,3865
658,1673,1478,2768,512,256,-11,312,275,357,-96399,96399,0,0,524,524,661
3943,2128,1393,2913,512,256,193,-262,188,853,-115868,115868,0,0,1298,1298,3940
238,1588,2923,1513,512,256,341,49,337,355,37750,2531,1,0,639,639,241
2623,1613,1128,2423,512,256,78,-339,29,682,-176285,176285,0,0,918,918,2620
3983,2223,2133,2068,512,256,35,-82,448,1147,-31413,31413,0,0,1622,1622,3980
428,1118,2913,1768,512,256,188,-342,82,522,-109331,109331,0,0,755,755,428
1968,2443,2373,3003,512,256,328,283,86,330,-316079,316079,0,0,430,430,1968
