armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,77666,33970,2635,1,0,1017,697,3373
158,2313,1588,2603,512,256,24,202,59,3080,34030,2446,1,0,1011,1011,161
2773,1518,1368,1613,512,256,57,-56,170,2708,-62355,62355,0,1,897,897,2770
1593,1853,2333,2303,512,256,144,147,89,1842,38750,2740,1,0,539,539,1596
3373,1203,1078,2568,512,256,-91,-328,224,57,-266925,266925,0,1,18,18,3373
1023,2093,1638,2058,512,256,-128,-28,473,2421,-153680,153680,0,1,694,694,1026
2198,1983,1793,2178,512,256,20,205,301,89298,37160,2633,1,0,698,328,2195
343,1463,2133,1243,512,256,-48,-370,136,140523,-61774,52131,0,1,802,303,346
538,2358,1928,2798,512,256,242,143,37,491423,-25402,25402,0,0,3414,1741,541
1053,3008,2678,2643,512,256,160,200,48,38669,-168323,169323,0,1,394,243,1056
1568,1333,1258,2208,512,256,50,435,125,615026,-5558,2723,1,0,3405,1292,1571
223,1818,1313,2638,512,256,-187,224,341,520162,-32602,22616,0,0,3414,1589,226
3453,1203,1858,1133,512,256,-156,-324,182,19631,-237878,237878,0,1,401,321,3453
2128,1973,1873,1948,512,256,60,156,180,77834,35440,2586,1,0,870,600,2125
3798,2073,2093,1823,512,256,-234,-160,360,537170,-27457,25507,0,0,3414,1462,3795
3493,1143,2173,2088,512,256,60,325,219,16719,-279008,261961,0,1,282,223,3496
3418,1853,2573,1108,512,256,215,175,402,506412,-22533,17898,0,0,3414,1649,3415
3668,1133,2793,2263,512,256,-352,21,259,399,-520907,520907,0,1,143,143,3671
2483,1493,1593,1025,512,256,285,-182,319,2223,-303911,303911,0,1,807,807,2480
1828,2258,2498,2158,512,256,162,273,226,62776,38220,2721,1,0,592,382,1828
3988,1503,1148,2913,512,256,-257,-59,475,618541,-80475,80475,0,0,3414,1224,3985
3633,1583,2138,1693,512,256,30,-346,134,758334,-72485,68968,0,0,3414,861,3633
1078,1048,2708,2658,512,256,285,238,74,60584,-433967,426674,0,1,498,319,1075
2118,1448,1468,2483,512,256,80,-157,378,201247,-7020,2930,1,0,1626,840,2115
1088,2908,2423,2938,512,256,391,130,75,472266,-46534,36338,0,0,3414,1843,1091
688,2408,2413,1228,512,256,75,-212,376,296239,-12649,2859,1,0,1556,578,688
2983,1153,2168,2853,512,256,96,120,484,284641,29800,2538,1,0,1434,464,2986
938,1813,1253,2348,512,256,-103,194,338,535987,-24712,11150,0,0,3414,1562,941
3868,1328,1253,1943,512,256,-72,88,194,1457,-51580,51580,0,1,544,544,3865
658,1673,1478,2768,512,256,-11,312,275,186405,-4199,2708,1,0,1455,788,661
3943,2128,1393,2913,512,256,193,-262,188,325296,-263950,264030,0,1,1797,456,3940
238,1588,2923,1513,512,256,341,49,337,502868,-37477,31953,0,0,3414,1691,241
2623,1613,1128,2423,512,256,78,-339,29,11602,-521108,521300,0,1,87,46,2620
3983,2223,2133,2068,512,256,35,-82,448,479559,-20066,14705,0,0,3414,1790,3980
428,1118,2913,1768,512,256,188,-342,82,450355,-30929,20299,0,0,3414,1814,428
1968,2443,2373,3003,512,256,328,283,86,33054,-178990,168692,0,1,469,372,1968
3378,1728,1793,1898,512,256,-175,102,164,9956,39220,2850,1,0,492,462,3378
2963,1793,1443,1998,512,256,290,51,253,352892,-103680,95014,0,0,3414,2173,2960
1563,1388,1378,2368,512,256,-132,-161,206,380541,-26875,26875,0,0,3414,2034,1566
3603,1583,2383,1148,512,256,91,40,508,487555,-34742,29901,0,0,3414,1780,3600
1003,2448,2508,2478,512,256,190,47,119,2471,34740,2784,1,0,940,940,1006
623,2603,2718,1378,512,256,-311,162,329,35534,33280,2003,1,0,1086,936,626
2608,1248,1113,2263,512,256,73,-60,481,588,-300967,300967,0,1,281,281,2605
2313,1293,2768,2933,512,256,-238,117,415,35324,-275055,275055,0,1,748,618,2316
3108,1848,2028,1593,512,256,137,-64,224,22809,32640,2803,1,0,1150,1120,3105
3253,2383,2238,2083,512,256,-205,-199,392,3688,41100,2882,1,0,304,294,3253
1333,1793,1288,1998,512,256,420,114,150,537487,-55094,55094,0,0,3414,1660,1336
198,2473,2368,1828,512,256,-224,308,149,15446,35769,1533,1,0,837,797,201
68,2453,2493,2548,512,256,297,182,267,13194,35720,2579,1,0,842,802,71
693,2228,2253,1098,512,256,250,209,415,503509,-21686,21686,0,0,3414,1633,696
1923,1743,2653,1513,512,256,-37,136,172,553982,-48584,48584,0,0,3414,1664,1926
568,1178,2673,2133,512,256,-233,-102,250,28061,-312163,305052,0,1,601,484,568
1813,1283,1618,1473,512,256,-149,181,90,195572,1765,1624,1,0,1374,629,1816
3553,2383,3048,1803,512,256,264,-298,284,641697,-331073,322355,0,0,3414,989,3553
