armPos0,armPos1,armPos2,armPos3,armPos4,armPos5,targetPos0,targetPos1,targetPos2,Duration(micros),Score*1000,Distance*1000,Success,Collision,NbActions,NbIterationGegelati,MotorPos
3373,2643,2783,2718,512,256,-199,-153,252,9021,-14074,2895,1,0,786,768,3373
158,2313,1588,2603,512,256,24,202,59,386699,27010,2929,1,0,1713,713,158
2773,1518,1368,1613,512,256,57,-56,170,130784,-759762,221682,0,1,540,51,2773
1593,1853,2333,2303,512,256,144,147,89,439121,3469,2380,1,0,1394,390,1593
3373,1203,1078,2568,512,256,-91,-328,224,49,-266925,266925,0,1,18,18,3373
1023,2093,1638,2058,512,256,-128,-28,473,16942,-47340,2933,1,0,1429,1379,1023
2198,1983,1793,2178,512,256,20,205,301,208180,-613298,2955,1,0,681,196,2198
343,1463,2133,1243,512,256,-48,-370,136,97831,-529935,59296,0,1,459,184,343
538,2358,1928,2798,512,256,242,143,37,212,-386361,386361,0,1,109,109,538
1053,3008,2678,2643,512,256,160,200,48,34,-307216,307216,0,1,18,18,1053
1568,1333,1258,2208,512,256,50,435,125,546809,-367595,2990,1,0,1826,468,1568
223,1818,1313,2638,512,256,-187,224,341,298885,-690263,2949,1,0,1504,852,226
3453,1203,1858,1133,512,256,-156,-324,182,729,-267303,267303,0,1,307,307,3453
2128,1973,1873,1948,512,256,60,156,180,438032,-35670,2845,1,0,1316,275,2125
3798,2073,2093,1823,512,256,-234,-160,360,60832,-130569,2922,1,0,388,256,3795
3493,1143,2173,2088,512,256,60,325,219,57772,-508886,279763,0,1,142,21,3493
3418,1853,2573,1108,512,256,215,175,402,44984,-413160,87166,0,1,390,266,3418
3668,1133,2793,2263,512,256,-352,21,259,108806,-192631,2481,1,0,1154,961,3668
2483,1493,1593,1025,512,256,285,-182,319,3321,-242188,240491,0,1,938,936,2483
1828,2258,2498,2158,512,256,162,273,226,572227,-552325,1730,1,0,1757,198,1828
3988,1503,1148,2913,512,256,-257,-59,475,1251887,-88765,25210,0,0,3414,356,3988
3633,1583,2138,1693,512,256,30,-346,134,177742,-731760,33986,0,1,686,236,3633
1078,1048,2708,2658,512,256,285,238,74,245283,-599687,2469,1,0,1447,886,1078
2118,1448,1468,2483,512,256,80,-157,378,154067,-362352,2973,1,0,953,606,2118
1088,2908,2423,2938,512,256,391,130,75,30,-94449,94449,0,1,15,15,1088
688,2408,2413,1228,512,256,75,-212,376,249359,-1034739,2361,1,0,696,33,691
2983,1153,2168,2853,512,256,96,120,484,851077,-73439,2942,1,0,2224,172,2986
938,1813,1253,2348,512,256,-103,194,338,405839,-869709,2754,1,0,1516,711,938
3868,1328,1253,1943,512,256,-72,88,194,1007,-113378,113378,0,1,422,422,3865
658,1673,1478,2768,512,256,-11,312,275,385001,-1450181,2399,1,0,1005,31,658
3943,2128,1393,2913,512,256,193,-262,188,266144,-892865,196985,0,1,676,59,3943
238,1588,2923,1513,512,256,341,49,337,148399,-895730,2752,1,0,699,200,238
